RK,team_id,GP,PTS/G,PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,PENALTY,P YDS,TOP,+/- TOV,YEAR,PHASE,CATEGORY
19,DET,16,21.6,346,965,5166,5.4,303,100,675,28:43:00,-1,2007,REG,offense
20,LAC,16,25.8,412,980,5044,5.1,278,94,761,30:04:00,24,2007,REG,offense
21,TEN,16,18.8,301,1037,4987,4.8,306,101,773,32:53:00,0,2007,REG,offense
22,BAL,16,17.2,275,1042,4832,4.6,291,107,873,31:10:00,-17,2007,REG,offense
23,ATL,16,16.2,259,987,4813,4.9,248,105,891,29:43:00,4,2007,REG,offense
24,LAR,16,16.4,263,1026,4760,4.6,281,94,794,30:08:00,-10,2007,REG,offense
25,LVR,16,17.7,283,1000,4717,4.7,267,120,864,31:27:00,-11,2007,REG,offense
26,NYJ,16,16.8,268,1011,4715,4.7,286,63,486,29:07:00,-4,2007,REG,offense
27,CHI,16,20.9,334,1035,4692,4.5,266,111,839,28:29:00,-1,2007,REG,offense
28,MIA,16,16.7,267,989,4600,4.7,283,91,732,29:28:00,-7,2007,REG,offense
29,CAR,16,16.7,267,989,4559,4.6,255,95,801,29:44:00,1,2007,REG,offense
30,BUF,16,15.8,252,919,4434,4.8,248,78,633,29:51:00,9,2007,REG,offense
31,KC,16,14.1,226,1001,4429,4.4,255,101,697,30:02:00,-11,2007,REG,offense
32,SF,16,13.7,219,925,3797,4.1,218,97,702,27:08:00,-12,2007,REG,offense
1,NYG,4,21.2,85,246,1222,5.0,73,18,155,32:52:00,5,2007,POST,offense
2,LAC,3,19.0,57,176,1072,6.1,54,16,137,30:33:00,4,2007,POST,offense
3,NE,3,22.0,66,193,1024,5.3,71,13,128,32:52:00,1,2007,POST,offense
4,GB,2,31.0,62,108,672,6.2,38,12,84,28:17:00,-2,2007,POST,offense
5,JAX,2,25.5,51,110,589,5.4,36,11,82,27:10:00,0,2007,POST,offense
6,SEA,2,27.5,55,107,504,4.7,29,7,58,26:52:00,1,2007,POST,offense
7,IND,1,24.0,24,66,446,6.8,29,5,54,30:21:00,-2,2007,POST,offense
8,PIT,1,29.0,29,74,340,4.6,24,5,50,32:59:00,-2,2007,POST,offense
9,DAL,1,17.0,17,71,336,4.7,23,11,84,36:30:00,-1,2007,POST,offense
10,WAS,1,14.0,14,82,319,3.9,21,5,39,34:15:00,0,2007,POST,offense
11,TB,1,14.0,14,62,271,4.4,20,4,25,26:29:00,-3,2007,POST,offense
12,TEN,1,6.0,6,62,248,4.0,15,6,38,27:41:00,-1,2007,POST,offense
1,NO,16,28.9,463,1047,6571,6.3,354,86,797,30:28:00,-4,2008,REG,offense
2,DEN,16,23.1,370,1019,6333,6.2,354,77,739,29:44:00,-17,2008,REG,offense
3,HOU,16,22.9,366,1019,6113,6.0,340,80,664,32:05:00,-10,2008,REG,offense
4,ARI,16,26.7,427,998,5852,5.9,328,107,781,30:11:00,0,2008,REG,offense
5,NE,16,25.6,410,1095,5847,5.3,356,57,501,32:25:00,1,2008,REG,offense
6,ATL,16,24.4,391,1011,5779,5.7,313,71,591,31:10:00,-3,2008,REG,offense
7,NYG,16,26.7,427,1021,5695,5.6,338,102,821,33:19:00,9,2008,REG,offense
8,GB,16,26.2,419,1012,5618,5.6,299,110,984,32:37:00,7,2008,REG,offense
9,PHI,16,26.0,416,1056,5608,5.3,318,74,635,31:24:00,3,2008,REG,offense
10,CAR,16,25.9,414,938,5595,6.0,287,94,637,29:28:00,6,2008,REG,offense
11,LAC,16,27.4,439,924,5584,6.0,301,95,748,29:53:00,4,2008,REG,offense
12,MIA,16,21.6,345,965,5529,5.7,308,81,669,31:03:00,17,2008,REG,offense
13,DAL,16,22.6,362,979,5512,5.6,291,119,952,30:02:00,-11,2008,REG,offense
14,TB,16,22.6,361,1045,5456,5.2,298,95,834,32:14:00,4,2008,REG,offense
15,IND,16,23.6,377,969,5368,5.5,321,86,619,29:39:00,9,2008,REG,offense
16,NYJ,16,25.3,405,981,5307,5.4,308,77,569,31:06:00,-1,2008,REG,offense
17,MIN,16,23.7,379,1014,5294,5.2,292,90,692,31:19:00,-6,2008,REG,offense
18,BAL,16,24.1,385,1058,5184,4.9,300,103,785,33:22:00,13,2008,REG,offense
19,WAS,16,16.6,265,1026,5120,5.0,295,83,644,32:31:00,0,2008,REG,offense
20,JAX,16,18.9,302,1005,5106,5.1,312,104,813,31:29:00,-7,2008,REG,offense
21,TEN,16,23.4,375,973,5018,5.2,268,108,855,29:19:00,14,2008,REG,offense
22,PIT,16,21.7,347,1015,4991,4.9,290,95,812,32:41:00,4,2008,REG,offense
23,SF,16,21.2,339,961,4978,5.2,287,98,732,30:31:00,-17,2008,REG,offense
24,KC,16,18.2,291,957,4939,5.2,273,78,645,28:04:00,5,2008,REG,offense
25,BUF,16,21.0,336,956,4882,5.1,287,71,538,30:04:00,-8,2008,REG,offense
26,CHI,16,23.4,375,991,4734,4.8,264,78,610,29:36:00,5,2008,REG,offense
27,LAR,16,14.5,232,982,4596,4.7,249,97,718,30:32:00,-5,2008,REG,offense
28,SEA,16,18.4,294,927,4385,4.7,265,79,601,27:38:00,-7,2008,REG,offense
29,LVR,16,16.4,263,919,4356,4.7,225,109,823,29:31:00,1,2008,REG,offense
30,DET,16,16.8,268,913,4292,4.7,234,88,729,27:59:00,-9,2008,REG,offense
31,CLE,16,14.5,232,921,3985,4.3,233,100,669,28:33:00,5,2008,REG,offense
32,CIN,16,12.8,204,984,3926,4.0,245,75,591,29:18:00,-2,2008,REG,offense
1,ARI,4,29.5,118,252,1493,5.9,80,25,233,32:42:00,8,2008,POST,offense
2,PHI,3,24.7,74,195,1080,5.5,57,22,180,29:14:00,-1,2008,POST,offense
3,PIT,3,28.3,85,193,909,4.7,53,20,167,34:13:00,6,2008,POST,offense
4,BAL,3,18.0,54,166,695,4.2,38,21,152,26:26:00,4,2008,POST,offense
5,LAC,2,23.5,47,123,647,5.3,41,11,144,30:20:00,-4,2008,POST,offense
6,TEN,1,10.0,10,71,391,5.5,21,12,89,34:07:00,-3,2008,POST,offense
7,IND,1,17.0,17,65,366,5.6,17,9,74,29:11:00,2,2008,POST,offense
8,NYG,1,11.0,11,61,307,5.0,16,6,49,30:15:00,-1,2008,POST,offense
9,MIN,1,14.0,14,70,301,4.3,16,4,25,32:06:00,0,2008,POST,offense
10,MIA,1,9.0,9,62,276,4.5,18,4,34,33:26:00,-4,2008,POST,offense
11,CAR,1,13.0,13,51,269,5.3,16,6,40,20:11,-5,2008,POST,offense
12,ATL,1,24.0,24,67,250,3.7,20,6,52,29:58:00,-2,2008,POST,offense
1,NO,16,31.9,510,1032,6461,6.3,348,89,787,32:36:00,11,2009,REG,offense
2,DAL,16,22.6,361,1020,6390,6.3,335,115,892,32:17:00,2,2009,REG,offense
3,NE,16,26.7,427,1076,6357,5.9,373,81,743,33:05:00,6,2009,REG,offense
4,HOU,16,24.2,388,1043,6129,5.9,340,95,833,32:54:00,-1,2009,REG,offense
5,MIN,16,29.4,470,1054,6074,5.8,343,101,757,33:51:00,6,2009,REG,offense
6,GB,16,28.8,461,1042,6065,5.8,335,118,1057,33:03:00,24,2009,REG,offense
7,PIT,16,23.0,368,1014,5941,5.9,331,85,769,33:52:00,-3,2009,REG,offense
8,NYG,16,25.1,402,1017,5856,5.8,323,95,802,32:41:00,-7,2009,REG,offense
9,IND,16,26.0,416,980,5809,5.9,339,74,546,28:40:00,2,2009,REG,offense
10,LAC,16,28.4,454,972,5761,5.9,330,78,570,30:58:00,8,2009,REG,offense
11,PHI,16,26.8,429,975,5726,5.9,290,115,951,28:14:00,15,2009,REG,offense
12,TEN,16,22.1,354,990,5623,5.7,288,98,821,29:42:00,-4,2009,REG,offense
13,BAL,16,24.4,391,1014,5619,5.5,320,115,1094,30:33:00,10,2009,REG,offense
14,ARI,16,23.4,375,985,5510,5.6,317,108,886,30:52:00,-7,2009,REG,offense
15,DEN,16,20.4,326,1032,5463,5.3,306,93,800,30:12:00,7,2009,REG,offense
16,ATL,16,22.7,363,1048,5447,5.2,330,78,664,30:54:00,3,2009,REG,offense
17,MIA,16,22.5,360,1088,5401,5.0,333,78,640,32:01:00,-8,2009,REG,offense
18,JAX,16,18.1,290,1010,5385,5.3,300,70,542,30:21:00,2,2009,REG,offense
19,CAR,16,19.7,315,1023,5297,5.2,289,88,698,30:13:00,6,2009,REG,offense
20,NYJ,16,21.8,348,1030,5136,5.0,280,88,677,32:07:00,1,2009,REG,offense
21,SEA,16,17.5,280,1045,5069,4.9,297,95,840,28:31:00,-8,2009,REG,offense
22,WAS,16,16.6,266,970,5000,5.2,280,85,679,29:01:00,-11,2009,REG,offense
23,CHI,16,20.4,327,971,4965,5.1,262,100,836,29:37:00,-6,2009,REG,offense
24,CIN,16,19.1,305,1011,4946,4.9,295,114,863,32:29:00,0,2009,REG,offense
25,KC,16,18.4,294,1019,4851,4.8,256,84,667,28:00:00,1,2009,REG,offense
26,DET,16,16.4,262,1037,4784,4.6,281,98,768,29:57:00,-18,2009,REG,offense
27,SF,16,20.6,330,939,4652,5.0,238,98,758,30:46:00,9,2009,REG,offense
28,TB,16,15.2,244,961,4600,4.8,246,93,696,29:44:00,-5,2009,REG,offense
29,LAR,16,10.9,175,998,4470,4.5,259,100,834,29:10:00,-13,2009,REG,offense
30,BUF,16,16.1,258,911,4382,4.8,233,107,855,28:12:00,3,2009,REG,offense
31,LVR,16,12.3,197,944,4258,4.5,234,117,920,28:18:00,-13,2009,REG,offense
32,CLE,16,15.3,245,971,4163,4.3,237,77,678,29:54:00,-12,2009,REG,offense
1,IND,3,22.3,67,200,1168,5.8,72,10,75,32:44:00,2,2009,POST,offense
2,NO,3,35.7,107,179,1007,5.6,62,18,151,32:31:00,7,2009,POST,offense
3,NYJ,3,19.3,58,179,1003,5.6,46,20,159,31:03:00,3,2009,POST,offense
4,ARI,2,32.5,65,109,890,8.2,45,12,78,28:30:00,0,2009,POST,offense
5,MIN,2,31.0,62,142,798,5.6,47,13,82,33:08:00,-1,2009,POST,offense
6,DAL,2,18.5,37,138,674,4.9,43,16,122,35:04:00,0,2009,POST,offense
7,BAL,2,18.0,36,117,538,4.6,28,10,79,29:12:00,-1,2009,POST,offense
8,GB,1,45.0,45,67,493,7.4,32,8,76,29:51:00,-2,2009,POST,offense
9,LAC,1,14.0,14,60,344,5.7,18,10,87,28:29:00,-1,2009,POST,offense
10,PHI,1,14.0,14,56,340,6.1,17,9,116,20:26,-3,2009,POST,offense
11,CIN,1,14.0,14,61,281,4.6,18,6,55,26:58:00,-2,2009,POST,offense
12,NE,1,14.0,14,63,196,3.1,15,5,41,27:39:00,-2,2009,POST,offense
1,LAC,16,27.6,441,1039,6329,6.1,357,84,677,33:03:00,-6,2010,REG,offense
2,PHI,16,27.4,439,1038,6230,6.0,322,129,1101,31:15:00,9,2010,REG,offense
3,HOU,16,24.4,390,1029,6185,6.0,360,90,690,30:33:00,0,2010,REG,offense
4,IND,16,27.2,435,1089,6092,5.6,365,79,709,30:55:00,-4,2010,REG,offense
5,NYG,16,24.6,394,1035,6085,5.9,331,92,777,33:32:00,-3,2010,REG,offense
6,NO,16,24.0,384,1067,5960,5.6,351,90,884,32:05:00,-6,2010,REG,offense
7,DAL,16,24.6,394,1035,5828,5.6,327,109,863,31:25:00,0,2010,REG,offense
8,NE,16,32.4,518,986,5820,5.9,335,83,766,29:24:00,28,2010,REG,offense
9,GB,16,24.2,388,1000,5730,5.7,312,78,617,32:01:00,10,2010,REG,offense
10,LVR,16,25.6,410,1039,5674,5.5,306,148,1279,32:58:00,-2,2010,REG,offense
11,NYJ,16,22.9,367,1087,5616,5.2,307,103,934,33:37:00,9,2010,REG,offense
12,KC,16,22.9,366,1063,5595,5.3,319,90,771,32:39:00,9,2010,REG,offense
13,DEN,16,21.5,344,1018,5581,5.5,309,98,944,28:09:00,-9,2010,REG,offense
14,PIT,16,23.4,375,993,5525,5.6,295,100,903,32:24:00,16,2010,REG,offense
15,JAX,16,22.1,353,1019,5460,5.4,330,83,675,32:48:00,-15,2010,REG,offense
16,ATL,16,25.9,414,1097,5458,5.0,353,58,598,33:47:00,14,2010,REG,offense
17,DET,16,22.6,362,1064,5423,5.1,304,136,1018,30:48:00,4,2010,REG,offense
18,WAS,16,18.9,302,1002,5374,5.4,295,90,647,29:50:00,-4,2010,REG,offense
19,TB,16,21.3,341,955,5362,5.6,288,100,837,31:49:00,9,2010,REG,offense
20,CIN,16,20.1,322,1046,5289,5.1,317,90,720,31:14:00,-8,2010,REG,offense
21,MIA,16,17.1,273,1040,5170,5.0,300,72,595,31:54:00,-11,2010,REG,offense
22,BAL,16,22.3,357,1018,5166,5.1,303,90,673,31:20:00,7,2010,REG,offense
23,MIN,16,17.6,281,982,5039,5.1,289,100,769,30:25:00,-11,2010,REG,offense
24,SF,16,19.1,305,945,5013,5.3,251,112,934,29:47:00,-1,2010,REG,offense
25,BUF,16,17.7,283,954,4880,5.1,263,82,633,29:36:00,-17,2010,REG,offense
26,LAR,16,18.1,289,1053,4846,4.6,292,102,877,31:01:00,5,2010,REG,offense
27,TEN,16,22.2,356,907,4834,5.3,252,128,1040,26:02:00,-4,2010,REG,offense
28,SEA,16,19.4,310,964,4763,4.9,260,101,890,28:33:00,-9,2010,REG,offense
29,CLE,16,16.9,271,927,4635,5.0,265,78,675,28:21:00,-1,2010,REG,offense
30,CHI,16,20.9,334,936,4631,4.9,263,91,768,30:31:00,4,2010,REG,offense
31,ARI,16,18.1,289,931,4309,4.6,241,108,870,26:23:00,-5,2010,REG,offense
32,CAR,16,12.2,196,962,4135,4.3,225,106,918,27:24:00,-8,2010,REG,offense
1,GB,4,30.2,121,248,1445,5.8,86,21,187,33:44:00,6,2010,POST,offense
2,NYJ,3,21.3,64,181,956,5.3,54,12,100,28:50:00,1,2010,POST,offense
3,PIT,3,26.7,80,197,937,4.8,63,19,173,34:11:00,-3,2010,POST,offense
4,CHI,2,24.5,49,141,738,5.2,38,17,160,32:34:00,-2,2010,POST,offense
5,SEA,2,32.5,65,121,691,5.7,37,9,59,25:24:00,1,2010,POST,offense
6,BAL,2,27.0,54,131,516,3.9,38,8,94,34:38:00,2,2010,POST,offense
7,NO,1,36.0,36,83,474,5.7,32,7,39,32:01:00,0,2010,POST,offense
8,NE,1,21.0,21,78,372,4.8,26,6,44,34:56:00,-1,2010,POST,offense
9,PHI,1,16.0,16,60,352,5.9,18,7,50,28:00:00,1,2010,POST,offense
10,IND,1,16.0,16,54,312,5.8,16,2,10,26:53:00,1,2010,POST,offense
11,ATL,1,21.0,21,48,194,4.0,15,7,32,21:41,-3,2010,POST,offense
12,KC,1,7.0,7,40,161,4.0,8,5,40,18:16,-3,2010,POST,offense
1,NO,16,34.2,547,1117,7474,6.7,416,99,851,32:59:00,-3,2011,REG,offense
2,NE,16,32.1,513,1082,6848,6.3,399,87,815,29:47:00,17,2011,REG,offense
3,GB,16,35.0,560,988,6482,6.6,353,76,589,30:29:00,24,2011,REG,offense
4,PHI,16,24.8,396,1035,6387,6.2,356,107,853,31:20:00,-14,2011,REG,offense
5,DET,16,29.6,474,1058,6337,6.0,349,128,1075,30:09:00,11,2011,REG,offense
6,LAC,16,25.4,406,1048,6290,6.0,359,91,753,32:27:00,-7,2011,REG,offense
7,CAR,16,25.4,406,999,6237,6.2,345,113,1013,30:16:00,1,2011,REG,offense
8,NYG,16,24.6,394,1027,6138,6.0,331,94,795,30:30:00,7,2011,REG,offense
9,LVR,16,22.4,359,1015,6070,6.0,328,163,1358,30:55:00,-4,2011,REG,offense
10,ATL,16,25.1,402,1073,6026,5.6,349,93,769,32:18:00,8,2011,REG,offense
11,DAL,16,23.1,369,1017,6008,5.9,327,114,816,31:25:00,4,2011,REG,offense
12,PIT,16,20.3,325,1015,5957,5.9,341,101,854,33:33:00,-13,2011,REG,offense
13,HOU,16,23.8,381,1046,5954,5.7,321,99,852,33:40:00,7,2011,REG,offense
14,BUF,16,23.2,372,992,5617,5.7,313,86,743,30:11:00,1,2011,REG,offense
15,BAL,16,23.6,378,1036,5419,5.2,312,92,742,31:35:00,2,2011,REG,offense
16,WAS,16,18.0,288,1032,5384,5.2,312,90,892,30:26:00,-14,2011,REG,offense
17,TEN,16,20.3,325,984,5361,5.4,281,104,960,28:54:00,1,2011,REG,offense
18,MIN,16,21.2,340,1007,5275,5.2,297,109,908,29:43:00,-3,2011,REG,offense
19,ARI,16,19.5,312,993,5192,5.2,286,106,997,29:43:00,-13,2011,REG,offense
20,CIN,16,21.5,344,1015,5118,5.0,285,99,874,30:19:00,0,2011,REG,offense
21,TB,16,17.9,287,966,5108,5.3,276,123,1007,29:01:00,-16,2011,REG,offense
22,MIA,16,20.6,329,990,5085,5.1,287,85,779,31:37:00,-6,2011,REG,offense
23,DEN,16,19.3,309,1017,5074,5.0,286,101,842,30:43:00,-12,2011,REG,offense
24,CHI,16,22.1,353,978,5027,5.1,271,104,800,30:25:00,2,2011,REG,offense
25,NYJ,16,23.6,377,1029,4989,4.8,301,102,849,31:49:00,-3,2011,REG,offense
26,SF,16,23.8,380,993,4974,5.0,282,113,1014,32:08:00,28,2011,REG,offense
27,KC,16,13.2,212,1021,4973,4.9,277,110,916,30:32:00,-2,2011,REG,offense
28,SEA,16,20.1,321,1003,4863,4.8,265,138,1047,28:23:00,8,2011,REG,offense
29,CLE,16,13.6,218,1024,4621,4.5,278,95,847,29:15:00,1,2011,REG,offense
30,IND,16,15.2,243,951,4589,4.8,258,76,549,26:13:00,-12,2011,REG,offense
31,LAR,16,12.1,193,1013,4537,4.5,267,113,922,28:11:00,-5,2011,REG,offense
32,JAX,16,15.2,243,1002,4149,4.1,251,77,680,30:02:00,5,2011,REG,offense
1,NYG,4,25.5,102,286,1610,5.6,84,23,187,35:12:00,6,2011,POST,offense
2,NE,3,28.3,85,194,1188,6.1,77,8,53,25:20:00,-4,2011,POST,offense
3,NO,2,38.5,77,161,1098,6.8,60,3,18,34:28:00,-4,2011,POST,offense
4,SF,2,26.5,53,125,735,5.9,32,9,83,28:29:00,2,2011,POST,offense
5,DEN,2,19.5,39,126,699,5.5,33,10,85,31:14:00,1,2011,POST,offense
6,HOU,2,22.0,44,120,655,5.5,35,8,107,29:12:00,-1,2011,POST,offense
7,BAL,2,20.0,40,133,625,4.7,30,6,33,32:26:00,6,2011,POST,offense
8,DET,1,28.0,28,53,412,7.8,22,7,64,22:24,0,2011,POST,offense
9,PIT,1,23.0,23,68,400,5.9,21,6,61,31:06:00,0,2011,POST,offense
10,GB,1,20.0,20,73,388,5.3,25,3,20,30:25:00,-3,2011,POST,offense
11,CIN,1,10.0,10,65,300,4.6,21,3,25,30:17:00,-3,2011,POST,offense
12,ATL,1,2.0,2,64,247,3.9,14,3,15,25:26:00,0,2011,POST,offense
1,NE,16,34.8,557,1191,6846,5.7,444,97,840,31:56:00,25,2012,REG,offense
2,NO,16,28.8,461,1067,6574,6.2,352,104,911,29:59:00,2,2012,REG,offense
3,DET,16,23.2,372,1160,6540,5.6,382,103,944,32:05:00,-16,2012,REG,offense
4,DEN,16,30.1,481,1090,6366,5.8,380,100,805,31:16:00,-1,2012,REG,offense
5,WAS,16,27.2,436,994,6131,6.2,341,116,985,31:12:00,17,2012,REG,offense
6,DAL,16,23.5,376,1049,5994,5.7,338,117,853,31:01:00,-13,2012,REG,offense
7,HOU,16,26.0,416,1090,5953,5.5,341,108,873,34:46:00,12,2012,REG,offense
8,ATL,16,26.2,419,1021,5906,5.8,342,55,415,31:52:00,13,2012,REG,offense
9,TB,16,24.3,389,1008,5820,5.8,301,101,819,30:19:00,3,2012,REG,offense
10,IND,16,22.3,357,1109,5799,5.2,360,94,801,31:46:00,-12,2012,REG,offense
11,SF,16,24.8,397,969,5789,6.0,322,109,960,32:46:00,9,2012,REG,offense
12,CAR,16,22.3,357,988,5771,5.8,328,98,835,30:51:00,1,2012,REG,offense
13,GB,16,27.1,433,1042,5751,5.5,341,103,923,30:26:00,7,2012,REG,offense
14,NYG,16,26.8,429,968,5687,5.9,327,72,578,29:10:00,14,2012,REG,offense
15,PHI,16,17.5,280,1079,5665,5.3,332,98,813,30:44:00,-24,2012,REG,offense
16,BAL,16,24.9,398,1042,5640,5.4,314,121,1127,29:40:00,9,2012,REG,offense
17,SEA,16,25.8,412,974,5610,5.8,311,110,890,32:50:00,13,2012,REG,offense
18,LVR,16,18.1,290,1032,5504,5.3,300,108,939,30:30:00,-7,2012,REG,offense
19,BUF,16,21.5,344,983,5486,5.6,301,104,871,30:11:00,-13,2012,REG,offense
20,MIN,16,23.7,379,1001,5385,5.4,306,90,830,29:44:00,-1,2012,REG,offense
21,PIT,16,21.0,336,1023,5324,5.2,307,92,938,32:11:00,-10,2012,REG,offense
22,CIN,16,24.4,391,1016,5323,5.2,292,99,857,30:26:00,4,2012,REG,offense
23,LAR,16,18.7,299,1002,5264,5.3,287,130,978,30:47:00,-1,2012,REG,offense
24,KC,16,13.2,211,1015,5108,5.0,286,92,733,30:20:00,-24,2012,REG,offense
25,CLE,16,18.9,302,998,5028,5.0,279,113,1005,28:14:00,3,2012,REG,offense
26,TEN,16,20.6,330,957,5010,5.2,260,106,847,28:41:00,-4,2012,REG,offense
27,MIA,16,18.0,288,981,4984,5.1,288,82,724,29:00:00,-10,2012,REG,offense
28,CHI,16,23.4,375,999,4969,5.0,292,102,811,32:48:00,20,2012,REG,offense
29,JAX,16,15.9,255,994,4788,4.8,269,101,955,28:03:00,-3,2012,REG,offense
30,NYJ,16,17.6,281,1034,4787,4.6,299,83,708,30:26:00,-14,2012,REG,offense
31,LAC,16,21.9,350,988,4756,4.8,293,103,796,32:37:00,2,2012,REG,offense
32,ARI,16,15.6,250,1018,4209,4.1,246,102,857,29:19:00,-1,2012,REG,offense
1,BAL,4,31.0,124,271,1641,6.1,85,24,206,31:38:00,6,2012,POST,offense
2,SF,3,34.7,104,186,1420,7.6,73,17,143,31:11:00,1,2012,POST,offense
3,ATL,2,27.0,54,127,894,7.0,51,5,41,32:38:00,-1,2012,POST,offense
4,NE,2,27.0,54,147,885,6.0,52,9,96,29:45:00,-2,2012,POST,offense
5,SEA,2,26.0,52,134,871,6.5,50,10,65,32:34:00,1,2012,POST,offense
6,HOU,2,23.5,47,152,845,5.6,49,10,75,35:06:00,-1,2012,POST,offense
7,GB,2,27.5,55,123,678,5.5,40,7,36,27:28:00,2,2012,POST,offense
8,IND,1,9.0,9,87,419,4.8,25,5,37,37:32:00,0,2012,POST,offense
9,DEN,1,35.0,35,87,398,4.6,30,10,87,40:06:00,-2,2012,POST,offense
10,MIN,1,10.0,10,62,324,5.2,17,4,30,27:02:00,-3,2012,POST,offense
11,WAS,1,14.0,14,54,203,3.8,15,3,15,25:40:00,-1,2012,POST,offense
12,CIN,1,13.0,13,48,198,4.1,12,5,51,21:11,0,2012,POST,offense
1,DEN,16,37.9,606,1156,7319,6.3,435,117,1000,31:31:00,0,2013,REG,offense
2,PHI,16,27.6,442,1054,6676,6.3,355,95,846,26:24:00,12,2013,REG,offense
3,GB,16,26.1,417,1074,6404,6.0,351,86,801,31:53:00,-3,2013,REG,offense
4,NO,16,25.9,414,1079,6391,5.9,359,95,817,33:41:00,0,2013,REG,offense
5,LAC,16,24.8,396,1060,6293,5.9,373,95,765,34:35:00,-4,2013,REG,offense
6,DET,16,24.7,395,1102,6274,5.7,350,110,925,32:22:00,-12,2013,REG,offense
7,NE,16,27.8,444,1138,6152,5.4,378,69,625,30:21:00,9,2013,REG,offense
8,CHI,16,27.8,445,1013,6109,6.0,344,85,708,31:02:00,5,2013,REG,offense
9,WAS,16,20.9,334,1107,5915,5.3,329,99,802,31:53:00,-8,2013,REG,offense
10,CIN,16,26.9,430,1097,5894,5.4,330,102,1000,33:50:00,1,2013,REG,offense
11,HOU,16,17.2,276,1089,5556,5.1,307,112,1138,32:31:00,-20,2013,REG,offense
12,ARI,16,23.7,379,1037,5542,5.3,329,96,744,31:00:00,-1,2013,REG,offense
13,MIN,16,24.4,391,1013,5508,5.4,309,70,695,28:28:00,-12,2013,REG,offense
14,ATL,16,22.1,353,1024,5490,5.4,330,91,788,30:20:00,-7,2013,REG,offense
15,IND,16,24.4,391,1023,5468,5.3,318,66,576,30:41:00,13,2013,REG,offense
16,DAL,16,27.4,439,957,5458,5.7,325,102,867,29:02:00,8,2013,REG,offense
17,SEA,16,26.1,417,973,5424,5.6,307,128,1183,31:32:00,20,2013,REG,offense
18,CLE,16,19.2,308,1078,5423,5.0,301,104,920,29:41:00,-8,2013,REG,offense
19,BUF,16,21.2,339,1116,5410,4.8,301,110,954,29:43:00,3,2013,REG,offense
20,PIT,16,23.7,379,1023,5401,5.3,312,80,677,31:53:00,-4,2013,REG,offense
21,KC,16,26.9,430,1030,5395,5.2,323,101,774,31:06:00,18,2013,REG,offense
22,TEN,16,22.6,362,1032,5390,5.2,311,101,900,30:17:00,0,2013,REG,offense
23,LVR,16,20.1,322,1000,5340,5.3,275,116,912,30:54:00,-9,2013,REG,offense
24,SF,16,25.4,406,961,5180,5.4,286,103,845,31:34:00,12,2013,REG,offense
25,NYJ,16,18.1,290,1020,5090,5.0,280,108,837,30:13:00,-14,2013,REG,offense
26,CAR,16,22.9,366,999,5069,5.1,319,80,671,32:54:00,11,2013,REG,offense
27,MIA,16,19.8,317,1001,5007,5.0,278,70,598,29:42:00,-2,2013,REG,offense
28,NYG,16,18.4,294,988,4920,5.0,280,91,786,29:16:00,-15,2013,REG,offense
29,BAL,16,20.0,320,1090,4918,4.5,295,112,942,30:21:00,-5,2013,REG,offense
30,LAR,16,21.8,348,968,4877,5.0,282,123,1009,29:05:00,8,2013,REG,offense
31,JAX,16,15.4,247,1020,4701,4.6,271,96,797,27:22:00,-6,2013,REG,offense
32,TB,16,18.0,288,981,4432,4.5,269,121,1136,30:36:00,10,2013,REG,offense
1,DEN,3,19.3,58,205,1176,5.7,71,15,128,33:06:00,-6,2013,POST,offense
2,SF,3,21.0,63,182,1004,5.5,59,14,115,29:11:00,-1,2013,POST,offense
3,SEA,3,29.7,89,169,926,5.5,44,24,222,31:57:00,7,2013,POST,offense
4,IND,2,33.5,67,130,922,7.1,44,8,61,24:44:00,-7,2013,POST,offense
5,NO,2,20.5,41,138,838,6.1,51,15,154,33:42:00,-3,2013,POST,offense
6,NE,2,29.5,59,129,739,5.7,42,6,50,30:38:00,4,2013,POST,offense
7,LAC,2,22.0,44,106,577,5.4,29,13,91,27:00:00,6,2013,POST,offense
8,KC,1,44.0,44,80,513,6.4,30,2,15,37:33:00,3,2013,POST,offense
9,CIN,1,10.0,10,79,439,5.6,27,4,38,30:32:00,-4,2013,POST,offense
10,CAR,1,10.0,10,54,325,6.0,18,8,73,30:05:00,-2,2013,POST,offense
11,GB,1,20.0,20,61,281,4.6,18,3,20,30:54:00,1,2013,POST,offense
12,PHI,1,24.0,24,57,256,4.5,17,4,38,25:07:00,2,2013,POST,offense
1,NO,16,25.1,401,1095,6582,6.0,395,80,670,31:35:00,-13,2014,REG,offense
2,PIT,16,27.2,436,1068,6564,6.1,379,103,834,32:24:00,0,2014,REG,offense
3,IND,16,28.6,458,1105,6496,5.9,370,105,848,32:54:00,-5,2014,REG,offense
4,DEN,16,30.1,482,1067,6446,6.0,360,120,1045,31:46:00,5,2014,REG,offense
5,PHI,16,29.6,474,1131,6348,5.6,356,115,995,27:40:00,-8,2014,REG,offense
6,GB,16,30.4,486,1001,6178,6.2,356,92,776,31:32:00,14,2014,REG,offense
7,DAL,16,29.2,467,1015,6138,6.0,342,105,839,33:51:00,6,2014,REG,offense
8,ATL,16,23.8,381,1035,6051,5.8,330,97,840,29:28:00,5,2014,REG,offense
9,SEA,16,24.6,394,1021,6012,5.9,328,130,1009,32:22:00,10,2014,REG,offense
